id,message_size,actual rtt,rtt,min_rtt,rttvar,cwnd,delivery_rate

41,10000000,240802,703,112,147,1844554,65600779
6,1000,136,1089,145,1041,20080,1779799
17,10000,314,461,112,457,96822,24149087
49,10000000,221292,551,112,177,3193712,75476169
13,10000,258,667,112,619,55350,81977971
56,100000000,7456681,3206,112,2388,22592926,20196774
4,1000,146,1270,145,1303,17992,3551020
8,1000,146,1016,145,707,22168,1211957
40,10000000,165847,646,112,220,1844554,61550282
44,10000000,201640,1114,112,339,2260282,50933973
57,100000000,7413142,4386,112,2783,24828147,16314659
28,100000,1800,602,112,249,542237,62492951
39,1000000,15558,772,112,255,1844554,65751287
43,10000000,286458,751,112,128,2052418,76044553
7,1000,140,1040,145,878,21124,1441740
47,10000000,528665,532,112,211,2673255,74237596
14,10000,272,599,112,600,65718,79010539
24,100000,1998,552,112,349,438618,81174177
27,100000,1829,569,112,246,542237,79638984
32,1000000,16308,1008,112,788,1844554,74386459
34,1000000,16397,610,112,315,1844554,54451562
38,1000000,15877,716,112,251,1844554,66460207
36,1000000,17373,914,112,642,1844554,69329747
45,10000000,396402,1109,112,357,2260282,47317373
52,100000000,7896951,2248,112,1440,9857536,25950899
58,100000000,7393547,2673,112,1426,26817180,19997128
9,1000,134,1013,145,536,23212,1035115
59,100000000,7721665,3022,112,1693,29111925,19778794
50,100000000,3108876,490,112,183,3398973,64178505
12,10000,255,745,112,616,44982,32219570
18,10000,233,427,112,411,107190,42137263
54,100000000,7272213,2336,112,1391,16912013,19431677
55,100000000,8024158,3207,112,2173,19392173,11606676
3,1000,143,1412,145,1359,16948,7195880
35,1000000,18238,566,112,270,1844554,43841695
31,1000000,14242,905,112,537,1047253,75589444
53,100000000,7647542,6481,112,4634,13923582,13143932
25,100000,1603,525,112,315,542237,60320653
19,10000,249,396,112,371,117558,23898596
22,100000,1483,476,112,384,335010,68686354
26,100000,1566,565,112,317,542237,71271068
11,10000,318,807,112,657,34614,37147683
51,100000000,7784968,676,112,331,5474088,55580970
10,10000,290,900,112,627,24256,9249169
29,100000,1871,550,112,240,542237,43191898
37,1000000,15949,782,112,273,1844554,122761690
15,10000,287,546,112,555,76086,55652771
21,100000,1692,405,112,323,231468,77224160
16,10000,277,496,112,516,86454,49784880
46,10000000,162856,544,112,294,2673255,18384908
20,100000,1510,368,112,333,127926,56408219
0,1000,563,2030,2030,1015,13812,153663
23,100000,1537,513,112,361,438618,85791151
42,10000000,160533,653,112,171,2052418,54042188
33,1000000,16636,645,112,305,1844554,66438058
48,10000000,167899,524,112,207,3193712,65450032
2,1000,148,1593,146,1330,15904,7136412
30,1000000,15135,494,112,234,542237,54617287
1,1000,138,1799,185,1222,14860,5648316
5,1000,143,1164,145,1188,19036,2360879
