id,message_size,actual rtt,rtt,min_rtt,rttvar,cwnd,delivery_rate
4290,2070000,109907,5212,70,5488,963474,20288336
6112,2520000,122599,5058,56,6861,756458,21849938
6633,2650000,170617,3404,56,2655,999884,19984160
1478,1360000,67984,3596,11,3409,1045074,22067019
1999,1490000,231688,11405,11,12536,1576972,5701963
1733,1430000,74407,3879,11,4316,572922,23735564
859,1210000,64805,2978,11,2522,907744,22279953
9441,3360000,549345,5286,71,4532,1085500,10824376
9462,3360000,528112,5369,71,4963,1382146,13842484
10218,3550000,320824,4137,129,3972,1143467,21619795
7047,2760000,145766,4178,56,3659,987008,19647945
11997,3990000,256597,10189,78,12434,1547455,10468821
7601,2900000,210121,4334,97,4665,889368,18225628
9843,3460000,596479,15719,71,18853,1729750,4679632
10566,3640000,277068,8722,129,8569,815004,14545964
7702,2920000,211564,4551,85,3552,749538,15362560
8442,3110000,349871,6078,77,5911,1531106,15782652
6497,2620000,133718,3533,56,3146,1020850,24079655
9386,3340000,532408,5285,71,4283,1443534,13967702
7899,2970000,242027,3148,77,2925,898262,29422825
9591,3390000,603371,13094,71,10475,2192058,4404310
4385,2090000,142995,6279,76,6274,1678248,12468146
8649,3160000,205141,4496,77,4125,1064426,18365267
343,1080000,233852,4897,11,4421,980102,11010629
2610,1650000,199832,4885,11,3628,1257756,18888413
7354,2830000,158990,4602,56,4465,1083002,19535821
10106,3520000,615568,18960,71,22677,1930967,9341477
4241,2060000,111241,5242,70,4890,827448,18473683
60,1010000,23160,859,144,540,309557,58307918
4749,2180000,131284,3600,76,3471,878170,18600742
4258,2060000,150315,5022,70,5995,986027,2728757
1672,1410000,70779,4700,11,4996,257358,30952064
4077,2010000,145662,17742,70,20141,1503434,8490531
8647,3160000,215805,11533,77,10498,2084560,5167849
8564,3140000,335570,4680,77,4732,759722,15290541
8308,3070000,165413,3410,77,2557,945566,22069276
11141,3780000,253616,3995,101,3585,1095220,19771221
8907,3220000,180657,3858,142,4324,323988,39832165
11792,3940000,236359,4248,78,4702,422347,44404460
9466,3360000,219996,3647,71,3002,913530,19220181
4603,2150000,255308,5425,76,6104,691056,18656826
7349,2830000,284499,5968,56,6349,1412192,12609125
6927,2730000,209862,4368,56,3879,1201568,20940379
4685,2170000,193907,5468,76,6394,396046,24014805
10471,3610000,237171,3775,129,3673,1152587,11887551
1396,1340000,65070,3586,11,3066,904334,22022477
2328,1580000,355262,6575,11,5581,1504082,12678543
3149,1780000,112624,4627,70,5459,196608,17723280
2546,1630000,110723,5326,11,6621,1085083,2966326
11429,3850000,739075,5313,78,5158,1383872,12573098
2627,1650000,181625,8450,11,7414,1893776,15821317
5288,2320000,143739,3676,81,2876,1045876,22041375
930,1230000,110870,3060,11,2247,933558,23190293
4451,2110000,146812,4400,76,4257,1065830,18919277
5662,2410000,134655,5609,81,5719,1070474,19029953
546,1130000,73417,3516,11,3215,711248,20122730
5795,2440000,866648,42874,81,44603,3670705,1690318
1435,1350000,66475,5458,11,5231,1071144,22708899
