ID,Message Size,Sending Rate,RTT,Latency
5916,1878071,134015779,227,27624
2197,2328599,447474127,119956,13104
841,1203022,10412004,927,15263
3527,2475419,441037588,119956,10954
1144,2328510,500600641,290,14971
5486,1077376,342818314,378,8569
3022,2013700,2126926624,119956,13355
3378,802798,310546228,119956,3710
363,1326436,164865242,155,1127592
259,2251870,233178168,1032,11112
1098,763665,118452904,85912,6161
2004,1047274,594179341,119956,5164
3286,1214044,523621705,119956,7047
2237,1556827,200866501,119956,8120
3413,1436538,149595157,119956,11660
2933,2136069,99794608,119956,20132
1750,862408,154225910,119956,983130
2566,1520067,285936827,119956,12049
2748,1758650,570501862,119956,10936
618,1310066,127715804,670,1018630
3481,2394672,136189830,119956,999046
3436,1350565,593213114,119956,6065
3654,650699,310254865,470,3673
1191,1721027,50676780,11881,9730
2161,2186457,973436291,119956,11020
2288,1575340,340435801,119956,11051
1299,1576317,83231199,114,13878
4079,2247731,53527099,428,15682
4692,1652924,270830396,100416,11630
4903,1087052,220229372,156,6454
5528,936317,231144212,285,8114
5483,510720,160990285,378,1935
5987,1674885,89880587,356,17459
4979,1905306,118623863,64,17560
6000,1991483,299426668,251,1282454
409,867283,22467904,735,5832
5110,2119626,190345936,246,20819
164,1450592,354002693,265,10081
2044,621715,833995041,119956,2621
4850,2491600,47588611,577,15229
3091,1163398,160404646,119956,6797
4014,523680,1078933599,168,2649
1307,1130401,443423394,807,8590
518,2107010,271053041,103,25527
1084,1641618,183231836,278,12509
1588,1328866,220487678,627,10193
1704,1908175,303941831,166,15661
1941,961859,970909468,119956,4947
3062,1767582,305493526,119956,12710
4094,2192490,235197445,78906,13145
4182,1299738,67306494,22748,8335
2337,845305,879121482,119956,4131
2603,2383167,162033357,119956,930887
2687,2304986,308476658,119956,12820
4116,2399314,125211588,123,22964
5013,1214030,32539030,238,12086
6009,596643,26843429,358,11109
3532,1337002,1036000000,119956,7953
887,2232083,17940937,93267,15782
6193,703168,110458229,293,7781
1270,1178099,494545296,1141,7727
2848,1555270,239675164,119956,9759
3326,1344252,295353388,119956,6059
5837,613218,45951696,808,1903
3822,2485342,312095265,283,12924
3994,708928,74152227,342,3804
4701,895032,446730635,100416,4777
3281,2438557,235428722,119956,32251
3835,2358055,144525691,400,16272
4821,1966212,186242763,207,12367
142,1753540,130214005,228,12661
5199,1853210,92858062,160,16385
4152,1233377,101348815,137,14975
3930,1495950,192199117,285,8206
725,1610215,206147440,233,20536
4938,1273541,546320878,26117,7213
942,2237141,20619461,59743,16544
5828,1469575,60426674,598,11797
865,2243980,8770614692,105,20595
3909,1825220,74578723,131,1112525
754,1146156,70878098,826,7293
3352,1440755,27168720,119956,11163
4075,933699,53527099,428,4998
4416,860596,156481161,100416,5681
5072,2071004,53502515,233,18353
1380,2491450,230862932,356,23197
5269,1348151,83629798,185,18690
1757,599739,361294964,119956,3532
636,1636872,99593218,1321,1026089
1696,1327246,189456619,233,6854
3174,1926458,214096794,119956,14139
2045,2000636,833995041,119956,9142
2716,595171,80824012,119956,3374
633,1234322,83102281,1321,13933
1137,1747473,88297555,209,9602
732,1442610,191532124,341,9862
3530,735150,141764290,119956,3854
3641,2251999,103656265,304,12003
5465,2258752,120701987,243,27990
3451,1399709,679855709,119956,7518
2977,562947,259088207,119956,2808
143,609891,307674138,224,3278
1485,1636947,137231640,188,7431
698,2480533,178765879,167,22058
1545,1805142,1085039971,182,18411
6044,2161219,50925732,366,10659
1683,1160631,1369214280,98,13335
4900,1641942,73802078,156,8391
5629,1179053,100422518,202,15352
2543,1448264,1624122739,119956,9240
4044,1625248,46386434,124,8778
4067,1943100,375321613,52466,10801
907,2251840,140808222,93267,11855
3250,2132800,411371498,119956,13806
5187,1742918,192232098,407,35613
5933,2386813,137858338,104,14051
415,2334509,133267522,735,11905
2677,1473240,607997775,119956,25430
5251,1838233,48503137,211,11172
6076,1034384,72260709,155,6612
6097,1222145,153926014,123,11679
315,2222206,155769230,594,20843
0,2270716,170621,1945,16516
1198,1332237,648895238,11881,7107
1328,1474480,834428705,123,13928
2759,533836,224966537,119956,3783
4543,2433954,134945586,100416,10328
1514,1105276,29415060,2931,10665
2297,2052260,220140877,119956,979247
4640,1966515,526384275,100416,10582
2289,773383,197574255,119956,4668
1888,532921,230941176,119956,944311
6063,548548,104866372,3274,7019
3628,1694156,166466225,366,8447
3287,924928,725619048,119956,14494
3662,1380205,114987091,319,6580
3981,1255638,46723379,19328,7307
122,2228547,213521819,388,13406
4368,642986,4204614,100416,3773
3939,1051200,43676819,679,11331
2095,916465,263713966,119956,3793
2213,1982898,1310071663,119956,10755
3349,1796426,466558362,119956,10621
4421,962176,1008783242,100416,7188
4447,2176986,560854998,100416,11973
2186,2103474,107073427,119956,16767
2128,2421315,289147136,119956,12448
267,1967478,63193545,251,1123183
3777,1813271,151573137,297,11798
1563,1410371,11463045,424,9331
4497,2197600,412102167,100416,10276
5226,2256173,630968983,145,22278
4817,1763969,500462502,396,8066
1488,656398,238990357,188,2982
