ID,Message Size,Sending Rate,RTT,Latency
98,1993174,27090208,842,188058
741,1113221,17873315,1594,31073
3026,2922044,45082838,318,150714
3729,1680053,16974022,15755,293865
46,613435,2334343,94079,6802
4690,2681465,23770403,533,263393
4148,2306836,13100745,53757,108979
591,2003759,20094894,59385,104015
437,1184803,14800120,126745,81927
3338,999205,58392856,7139,35471
4107,2770214,32646173,18128,79194
4573,2198812,5602583,8179,167154
623,1980694,11122212,76822,102765
1922,1134255,62595751,2888,118183
4942,1490061,71537277,8140,73561
5139,1956021,19935552,21284,108502
523,1474034,25495902,26947,18268
408,1102105,16366270,24139,44606
1530,2670782,64248105,6003,123857
4233,1252043,26542669,17321,98626
1789,1269341,49886042,8875,50443
1642,1579451,47639291,1928,44272
2452,1989917,31276028,2080,348914
1008,2201102,19962321,4312,80511
2038,881293,22277342,5241,178446
756,2341530,17477827,39854,48839
2346,1342076,22497789,17314,84007
13,2031837,11085826,1241,628138
3638,1040350,16976590,668,29714
1218,590664,14514721,145091,43857
483,2316343,31901984,1007,156781
760,2721141,10283169,30368,63840
4819,1766728,9564680,6370,69958
154,2337486,32594095,21322,55620
2406,594671,28651599,258048,11537
3283,1280071,26645630,5935,64091
452,2773176,14730476,126745,190801
4854,1632817,32056420,18815,118293
5111,2564106,17257901,6079,169545
4277,2246176,86524693,4614,95021
4218,718145,17431640,23810,21101
1307,2406084,52454301,515,107948
1767,2988870,23937773,25124,74116
4135,2799837,9654890,3767,344521
743,1323949,26245163,521,133838
9,2887261,5033188,75076,350054
687,1947983,33584160,3420,47879
2894,2367282,54568060,1915,135731
4086,2100753,26494932,32391,53149
4534,2034154,2713665,78436,106614
868,2194763,15406462,4951,51339
628,1336272,27375330,76822,17635
2827,2703378,59008563,258,90267
3352,2710709,8934789,71959,71867
3620,2149886,36469109,16242,90216
4022,1401016,9101172,3542,36458
2825,2370286,10831224,30153,78860
2466,1410995,28592549,1167,52147
932,587172,30881592,15874,18045
1098,1418444,11942282,8645,53260
1874,1977718,23468519,18100,104733
3275,2808275,18791970,1748,61892
4707,2434345,8221899,5111,106910
2335,2166772,11625641,40909,28995
1876,1523875,37127215,11538,62746
2196,1217138,30531569,12720,41840
4653,529852,19800880,2596,11601
5084,2889008,4525740,181189,46621
3095,1096104,2998034,257380,18031
2513,2535990,10043519,55787,153241
1159,2176465,15352408,61135,186577
2551,2063688,25046190,1286,254411
3504,2435451,7095224,14098,296748
446,1663037,14687897,126745,121939
1949,1725511,19482465,939,97920
2261,2367741,8479487,2531,92296
2249,1950906,20995313,44161,32987
1668,2007345,39213624,4988,213037
2680,852317,10798052,24008,13658
1484,1647710,27930464,5388,76902
497,1575457,11927426,2451,33737
4348,1844764,13367519,9023,142579
4628,1548673,20085652,24184,46502
440,1484498,14790910,126745,103028
3690,1820193,17312089,6270,147758
4288,2374756,28265870,9955,249604
2834,2953627,40121952,21739,135124
3327,2719265,30126154,7564,71985
4283,799649,32517410,11176,29016
191,1518209,4720771,17826,246979
753,2582146,34897226,8716,95365
809,2529361,22155911,19943,84084
913,2477896,17592670,6956,147004
2481,2030762,31391245,29260,53103
2718,1248849,3127381,2472,51282
3233,1195331,35821305,8801,48897
3771,2178831,19494391,1071,89855
3973,1152834,12881620,1832,36697
4757,1024038,23210937,27114,15763
1231,2422061,8654422,4043,62544
1508,2063270,21680052,873,113825
3348,2792867,34501946,11690,170541
4496,1988913,29259346,16456,64098
4223,2308264,16384269,43909,51574
2589,1646473,21952159,43098,51219
1765,2761115,25813691,20829,86582
2538,1227692,14891724,15255,57120
1347,1215305,47776664,7987,43979
28,571091,6253397,37074,5900
1739,906926,16831237,9209,11339
2729,543096,14616574,5970,27996
3836,2418243,22402832,998,57118
3875,844891,46496949,600,200717
1588,1418416,35656778,9990,36735
4778,1007795,30939156,1756,20395
4869,531554,69373798,14243,7468
238,1375057,70059923,8527,90217
75,1537946,17517089,351,198558
3244,2616233,24425201,3894,89432
1507,2936336,21923207,12737,94167
460,2343644,9614375,74914,58956
1887,2912633,30798575,8118,88265
3635,2697586,49380468,670,143790
4531,1077728,15516885,5951,67988
5044,1925610,39269962,9182,58184
234,2929526,28714586,11082,266715
4600,1017911,17997236,6021,55873
2885,2214147,10512343,75775,65493
4225,2418621,5123082,101050,75884
4350,2238932,10635620,9530,147239
5132,1533298,19686380,21284,80042
4528,884924,15838541,6001,53798
361,1921436,12578062,20143,43401
2711,1409938,13563365,47395,46549
4603,1080008,18143721,6021,62247
2420,2433435,8756286,13206,269118
2982,951256,37535604,4538,218818
365,1291432,18827290,34486,26813
3564,2366315,15748455,33984,60414
4969,1688688,9200565,614,188041
1221,2977419,14421276,7815,231819
4703,843160,17605556,6784,47851
4758,2505404,35202433,12197,82817
3432,2088944,16824629,878,100567
4844,1576427,10666263,17695,30965
2641,2075100,10940078,3304,152533
116,2748771,26457900,1495,81028
1366,1352016,14694983,31656,417398
132,2130145,12184573,1612,164220
886,1026481,7220021,8921,88330
2652,1192409,16105252,6607,89986
4215,1405312,68535218,6005,112042
3419,1628795,13098977,8090,152652
878,1006691,13695498,6612,71968
1969,2994406,30604610,10878,114698
2765,1185676,6809360,43912,171798
4039,2722979,18858751,958,76308
2458,655332,12973784,41603,11625
604,841920,28569014,801,19050
2473,1412026,23678715,13258,49660
2806,1923292,6386315,6667,439971
673,1228068,11033073,41920,14262
3518,2617032,7318311,59195,139834
2415,1430787,13782795,258048,105829
3179,1264425,64907122,1933,161699
3647,1214548,8418136,7998,30222
416,849898,4981079,126745,13312
2975,2189867,17781240,1243,74074
3264,1692665,23231502,11479,89115
3835,1659461,21730587,998,54139
459,1353054,14323655,8819,92185
5168,1777004,41375781,524,72427
3309,2893902,28736546,14113,131631
3765,2252283,15520380,6019,139892
3998,664054,27615784,4821,17933
21,2523615,7586167,239012,17838
50,2312256,14255965,16881,271007
175,2647879,4610144,5694,108305
2431,2344849,20265662,16659,91911
1529,2970279,41583472,3292,121394
769,645105,17911184,16039,8009
3241,2013968,9162547,3894,49285
2192,1064361,13189175,40460,25508
997,1768492,44512744,12525,46697
61,2415827,13671064,55475,140127
192,2963878,10342270,13427,201713
387,1849279,14673438,44974,211060
1143,2757396,7959896,24747,40080
334,707421,54876486,6212,7079
4146,2552676,17960956,1093,94640
3586,1800613,14592672,6273,116504
2590,1277428,21257363,11768,102753
3272,2962031,42300569,3004,235092
4430,1423049,8047236,27521,29129
1904,1232554,16320023,4653,82097
