ID,Message Size,Sending Rate,RTT,Latency
1064,1000,37075905,7107,7
1445,1000,43972165,9093,2
2726,1000,34626641,19591,4
198,1000,6762818,6284,30
4458,1000,55156162,17900,2
1625,1000,45258097,10814,5
4970,1000,34936062,36935,8
2664,1000,33711188,19510,2
517,1000,20211311,6504,14
593,1000,17534574,6382,2
2471,1000,33859669,17959,2
1819,1000,45406964,10945,4
2840,1000,38268795,20236,2
2842,1000,38268795,20236,4
5154,1000,30118292,42799,4
3508,1000,43481653,15481,2
2929,1000,39045545,20201,3
344,1000,11121805,6943,2
3844,1000,50276131,13147,4
4241,1000,55156162,17900,2
134,1000,3615730,6682,2
541,1000,20211311,6504,2
4206,1000,51491029,13989,18
4464,1000,55156162,17900,2
2264,1000,28496363,15325,16
25,1000,1819107,8807,2
4242,1000,55156162,17900,4
1111,1000,40008566,7750,3
3788,1000,48903596,13157,3
4748,1000,46952189,21809,15
2849,1000,38268795,20236,4
1276,1000,41804780,8141,8
1320,1000,48055850,9031,3
3786,1000,48903596,13157,6
4183,1000,51491029,13989,6
2540,1000,33094126,18640,4
874,1000,32822665,7071,73
4425,1000,55156162,17900,2
2900,1000,39045545,20201,19
3346,1000,39691792,16460,4
4295,1000,55156162,17900,4
1647,1000,46320450,10903,2
1804,1000,45406964,10945,5
4281,1000,55156162,17900,2
4390,1000,55156162,17900,2
2248,1000,28496363,15325,5
2201,1000,30645933,14580,2
2659,1000,33711188,19510,2
2239,1000,30645933,14580,4
3499,1000,43481653,15481,3
4272,1000,55156162,17900,2
3099,1000,42816279,19439,3
4680,1000,55156162,17900,8
1985,1000,44915812,11361,21
1423,1000,43972165,9093,5
4852,1000,34723663,34095,4
3186,1000,42816279,19439,4
4382,1000,55156162,17900,3
1928,1000,44915812,11361,4
3454,1000,39691792,16460,4
1268,1000,41804780,8141,6
3559,1000,44557154,15081,4
3939,1000,53326209,13136,6
3567,1000,44557154,15081,2
551,1000,14718531,6465,3
4665,1000,55156162,17900,3
3196,1000,42816279,19439,5
1163,1000,41750047,7991,9
4694,1000,55156162,17900,6
364,1000,11630525,6821,5
4533,1000,55156162,17900,3
2406,1000,28434622,15899,4
2839,1000,38268795,20236,3
3589,1000,45786297,13939,4
980,1000,35737376,7234,4
3447,1000,39691792,16460,4
1748,1000,48768648,10868,2
3999,1000,51434083,13507,2
1211,1000,41804780,8141,2
3977,1000,50952397,13522,4
4428,1000,55156162,17900,3
945,1000,32970448,7325,2
2622,1000,33708789,19503,4
378,1000,11630525,6821,1213
4355,1000,55156162,17900,5
794,1000,24074667,6985,5
3613,1000,46452084,13691,3
5192,1000,31271127,44730,90
2778,1000,36457547,19575,3
2120,1000,30645933,14580,3
830,1000,30184380,7070,2
1785,1000,45406964,10945,2
3621,1000,46452084,13691,2
4595,1000,55156162,17900,2
4216,1000,51491029,13989,4
5186,1000,31271127,44730,5
3102,1000,42816279,19439,2
649,1000,24758479,6477,6
2821,1000,38268795,20236,5
4550,1000,55156162,17900,2
4331,1000,55156162,17900,3
5196,1000,31271127,44730,30
298,1000,12248030,6907,3
942,1000,32970448,7325,2
567,1000,19662545,6520,57
3917,1000,53326209,13136,4
1113,1000,40008566,7750,2
834,1000,30184380,7070,4
3034,1000,39426027,19426,4
2843,1000,38268795,20236,2
4359,1000,55156162,17900,4
4462,1000,55156162,17900,4
4307,1000,55156162,17900,3
305,1000,12248030,6907,4
1226,1000,41804780,8141,2
2142,1000,30645933,14580,2
2003,1000,44915812,11361,2
3669,1000,44135392,13546,2
2624,1000,33708789,19503,4
3371,1000,39691792,16460,2
4287,1000,55156162,17900,4
4649,1000,55156162,17900,4
936,1000,29788480,7202,2
1688,1000,46320450,10903,24
2633,1000,33708789,19503,3
2783,1000,37211449,19668,5
4161,1000,51491029,13989,2
856,1000,32822665,7071,4
1737,1000,48768648,10868,2
1671,1000,46320450,10903,2
3839,1000,50276131,13147,3
4759,1000,47531239,22068,28
1961,1000,44915812,11361,2
3873,1000,50276131,13147,3
1012,1000,36404739,7181,2
5157,1000,30118292,42799,56
4606,1000,55156162,17900,4
2482,1000,33859669,17959,2
2420,1000,32599952,16811,3
1052,1000,37075905,7107,2
3946,1000,53326209,13136,3
2397,1000,28434622,15899,2
1601,1000,46478664,10396,21
3558,1000,44557154,15081,2
4146,1000,51491029,13989,4
323,1000,13220017,7098,4
38,1000,1819107,8807,2
3622,1000,46452084,13691,3
3380,1000,39691792,16460,2
4137,1000,51491029,13989,6
328,1000,11121805,6943,3
5089,1000,32531706,39544,6
3652,1000,44135392,13546,2
191,1000,5373953,6301,2
732,1000,26990876,6597,2
1297,1000,46753544,8952,2
1646,1000,46320450,10903,5
2128,1000,30645933,14580,2
4503,1000,55156162,17900,2
1885,1000,44267661,11271,4
1332,1000,48055850,9031,7
1723,1000,48768648,10868,4
509,1000,20211311,6504,9
4325,1000,55156162,17900,3
1698,1000,46320450,10903,4
1325,1000,48055850,9031,3
2587,1000,34030682,19417,2
2521,1000,34183163,18178,5
3014,1000,39426027,19426,3
1809,1000,45406964,10945,4
4194,1000,51491029,13989,4
3090,1000,42816279,19439,3
4539,1000,55156162,17900,3
4519,1000,55156162,17900,3
1032,1000,36404739,7181,2
1801,1000,45406964,10945,133
1459,1000,46376857,9206,26
1836,1000,45406964,10945,136
1979,1000,44915812,11361,4
2398,1000,28434622,15899,4
3320,1000,45112901,19577,3
1970,1000,44915812,11361,3
4670,1000,55156162,17900,2
614,1000,17534574,6382,3
441,1000,15249510,6498,2
2818,1000,36767080,20311,5
4923,1000,32848154,35762,19
1216,1000,41804780,8141,4
1258,1000,41804780,8141,3
475,1000,20211311,6504,12
4757,1000,46952189,21809,19
3328,1000,45112901,19577,5
2068,1000,30645933,14580,5
5056,1000,34429385,38371,21
3997,1000,51434083,13507,7
3108,1000,42816279,19439,3
831,1000,30184380,7070,3
4645,1000,55156162,17900,3
2579,1000,34030682,19417,4
2872,1000,39045545,20201,3
5167,1000,30358466,43088,464
4271,1000,55156162,17900,2
883,1000,32822665,7071,12
