ID,Message Size,Sending Rate,RTT,Latency
4006,2093982,654107331,354,6529
1955,3876250,236760584,561,11254
3928,3400712,24942773,354,12339
1810,833879,451719630,98,4272
2267,3029632,550111774,169,9349
3733,3312077,481176769,241,10246
3771,2410778,439261980,55,13627
4463,3450861,369241045,67,22394
2774,3766486,354410726,884,11310
4187,1427931,450494986,354,4424
4744,4193407,594951178,104,13509
3619,2208766,1225450689,241,7065
2386,668287,235749801,107,2941
4911,5130843,1046215943,349,16714
4847,1761457,1017803711,104,5769
1488,2666653,94969774,105,8023
3301,855376,384943371,368,2590
4237,833586,385083238,354,3774
789,1014521,415014199,279,3875
711,5914931,338339080,121,17169
5137,2569963,489105821,71,13164
2380,1303176,440881437,61,10427
4843,4166769,616042780,104,15598
3944,1778504,76037234,354,6007
1080,3741035,369750297,279,11215
2980,1422167,471130419,62,6698
1188,4144974,405125981,112,21591
3943,3749669,76037234,354,12132
4096,4104691,403900458,354,13125
5016,1540442,245547555,57,8475
1230,1603240,82094227,182,7596
4453,1806552,578840790,87,8617
138,567167,688371185,130,1989
4731,3727735,391738429,104,12023
4687,4468232,690434078,343,14547
2586,3606029,1029946524,220,10366
3539,3474231,1170820668,241,10847
1775,1235261,1058567471,323,3880
2247,1546702,469098118,169,4844
712,4133743,413770816,121,14384
1152,2961340,305547986,279,8785
2708,5622205,476209314,1715,16417
4907,2595888,655233780,349,8248
5142,5979181,64961429,150,19326
3146,620931,212694112,66,2270
4065,645760,526320279,354,2290
2018,3480934,668623085,561,10006
5028,5500243,360291235,100,26955
516,1800492,342993426,157,5646
4987,2570348,383715766,115,10695
96,1194432,275418819,135,3519
158,1458266,567386281,117,4712
4434,1144527,252104672,64,5916
2407,2874945,207020426,77,16585
1477,3557627,77702543,105,10133
2678,2416813,203216881,206,8915
4821,1418830,409317015,104,4276
2041,2062353,590698492,561,7266
423,1942794,437414947,496,5716
4198,1620534,401224605,354,5241
4964,4818021,186547828,115,14809
363,2191735,440960810,496,6885
3751,2944828,408357269,241,11058
2103,950897,221291719,78,4865
4676,1699426,543326488,343,5630
4961,4092496,186547828,115,13569
504,3795311,334304238,157,11370
482,5083661,247252747,157,15063
1250,4891809,290807206,104,22318
2183,1611380,166792911,169,5217
2923,2977300,14105543,160,50354
2640,4310747,192992144,124,19633
568,5101267,302663359,118,16236
952,4159918,553175565,279,12618
2658,3183655,829976844,637,9491
589,4415639,208238866,125,30028
1154,2917733,867804259,279,8826
73,1940291,496955450,208,5980
2772,5408004,354410726,884,16158
2221,2967811,657215263,169,9401
4306,1672672,650704870,354,5372
2001,1551047,477454369,561,7304
2358,1913215,422163511,169,10278
4056,2596185,464568115,354,8676
414,3819250,438367892,496,11514
872,4661562,593908307,279,14477
1325,2170559,158058432,82,10911
2108,4017554,281596423,55,16537
3302,2802138,384943371,368,8721
1692,553491,421597956,105,2198
3337,5936019,716321200,59,30044
1289,5159229,235069689,82,23488
54,2287429,238455222,208,7112
174,2230155,351515218,120,7453
657,1421023,340875201,114,5938
720,728468,15156618,279,3018
1311,2219785,629590172,87,11156
610,4229418,491204446,131,16945
3206,3615360,610710259,54,17868
2551,4377215,158248995,220,13464
1415,1637205,347176597,85,8402
3364,3856105,41861930,241,11846
1243,4571716,268821596,88,23133
3062,5778435,1093978385,115,18333
4630,5351567,879800498,343,17828
1594,5508765,829430719,105,16753
92,4122019,239996068,135,12442
112,3417037,356151472,136,11450
3162,4058599,481607432,52,18294
239,2531687,496777954,149,7834
3667,3002477,503070464,241,9686
4618,1293066,978188539,343,3940
4874,3229858,850298851,104,12617
2456,4931419,98151797,1984,15641
3017,2303878,546798899,55,10186
4477,4735559,164943548,79,25671
3866,1213997,386218441,116,5575
4864,1325339,653858572,104,4753
272,3217794,532686676,132,10194
2983,4760034,483520407,51,21110
3746,542351,408357269,241,1756
4792,1590998,722005571,104,5376
4341,5629064,438600723,354,19561
1923,5035349,373148722,57,22515
5002,5862018,489749645,115,19045
1313,4978930,243524623,90,22549
1540,4467481,800071283,105,13659
2150,5217835,95130528,169,15889
4682,1178875,284184885,343,3667
710,2296237,328085584,121,6088
793,1331946,436018158,279,4352
3126,5035655,1581490402,87,22889
2274,549111,1430198019,169,1786
2338,4057963,747798537,169,14360
605,5278209,75922177,601,31657
1056,3574767,363971552,279,10883
3407,5726827,48506962,241,16997
4425,1208020,493128390,354,4239
2153,1640201,69980379,169,4688
3951,2847855,76037234,354,9394
2305,5733265,648726573,169,16566
4289,1615938,408132110,354,5290
4672,1434146,598528786,343,4983
1022,5891982,294174720,279,26158
1242,5453132,243030028,85,24773
1274,4465104,488067147,82,19499
4713,819128,35674535,104,2678
5160,5705349,569357495,150,18756
5104,658151,187324744,70,4007
279,5948045,2393168204,143,21535
950,3080922,553175565,279,8848
1623,3456329,443923396,105,10112
5095,2917797,392164773,67,17006
781,1952935,227619429,279,6485
3361,553409,43212315,241,1514
328,3083217,1138931209,496,9050
4801,5141511,357507085,104,16607
1878,4450127,506053726,94,23987
3958,2828328,798800844,354,10647
2309,3816330,475425645,169,11262
2810,2449993,384004976,884,7143
2500,4538033,259724070,59,17285
4925,729059,651528024,349,2852
2382,573993,228399160,71,3260
338,3744427,439060992,496,11576
1960,4864453,236760584,561,16173
3722,987099,126392650,241,2913
160,3695185,584594134,130,12299
2632,5860214,397477278,193,23228
1710,4498372,307831646,105,22529
2837,2624725,1254723127,884,7798
3190,2109086,365131523,56,10083
394,1200800,905335089,496,3354
1144,3799411,278119935,279,11248
3613,963146,336779229,241,3377
544,2083271,344186278,126,5603
1926,5608524,452822302,46,22892
2808,5721642,723907748,884,17542
1492,514670,94969774,105,1738
1353,5879530,78503915,339,29629
3918,4938764,23493712,354,18970
4286,5290167,495142986,354,17135
4611,4060369,276745241,343,12718
4680,3327027,893417880,343,10567
4834,1437435,430922693,104,4268
2912,3341806,373475846,97,15395
2584,3738156,570292667,220,11109
4788,4262533,485166120,104,13509
2475,5050992,419912790,1984,16052
120,505764,351562911,134,1569
4384,3428632,396318077,354,12134
5118,1203633,515837320,71,3859
2549,4175548,143414546,220,12739
1620,5525935,426764038,105,19892
750,3634080,892828598,279,18040
1804,575985,247168197,67,2614
2686,3308552,97872351,1715,10991
2589,1942009,1029946524,220,5633
3320,2911472,252299666,70,13609
2644,2579177,479232096,52,9910
3631,5871945,656092874,241,22452
147,1106685,414883362,149,3604
687,4526612,248978623,105,19750
2378,5100592,446990818,96,24900
2864,2533176,411489223,345,8463
5178,1857799,465001130,150,6265
335,4553302,439060992,496,13828
1401,1238653,218072007,143,6707
4093,5805508,325273722,354,18019
4518,4670562,111716189,108,15592
3130,3168948,507911206,67,15725
2184,771833,166792911,169,2367
3344,5643373,531310344,88,29806
1241,1895814,1787199901,110,9191
97,5198204,275418819,135,14953
1332,1393323,221971998,179,6049
2588,1622012,1029946524,220,4837
4234,3801704,224066390,354,13021
726,5682415,15156618,279,23918
607,5453945,470624296,121,29211
2782,3190496,244381922,884,10786
3598,4062531,1016358839,241,13239
4836,5405626,430922693,104,17097
4952,1495224,157804568,115,4804
2726,2543649,48848385,884,8282
2583,5644140,570292667,220,16139
998,1935315,391484825,279,6487
1579,5962992,374490785,105,29692
3169,1683815,1283801398,60,8801
3806,2812493,102537956,116,8657
4141,4546733,443223740,354,14390
690,3760600,225076071,172,11476
1507,5221773,243326636,105,15983
764,2379577,416297403,279,7358
3578,5282088,436487087,241,15219
2884,4943121,407546034,60,25282
2599,1018612,506972391,61,4706
1985,791352,1158686741,561,2596
2323,3472026,1358992210,169,10455
4316,4845067,408130889,354,15393
3521,5549070,257104869,241,17818
2522,3929727,361320015,71,22174
3348,5837076,235258352,104,30283
2488,2328260,138379400,62,10253
583,564666,466452390,134,2804
2044,2761688,471161153,561,13085
4019,1476863,567359636,354,4888
8,2775443,461279420,399,6784
2252,1420974,926454459,169,4156
2106,3297336,352059468,71,13075
2346,3073440,532206899,169,9609
2355,714342,520775123,169,2603
2791,1165968,903755795,884,3686
4945,1166673,157804568,115,3499
4230,2916211,577264516,354,9834
5041,2809074,74949397,72,20199
2202,5378201,494535968,169,16777
2468,1140297,419912790,1984,3455
5038,2063678,279250161,62,12412
2611,2519753,363263715,70,12239
2817,2183965,576837834,884,6646
743,2628383,256707952,279,7712
4323,5076695,150399742,354,17661
3377,2385407,48163726,241,6987
459,5471179,560055376,309,17267
685,4549532,318725716,116,19914
2290,3331801,525351052,169,12449
1681,1240572,466343825,105,4031
1460,2964788,94969774,105,9326
278,4355329,142325133,166,16575
2276,5056783,1430198019,169,14792
693,3758094,500699065,172,13810
2422,4603102,751213423,57,20412
3741,4242538,417725059,241,13634
4369,5933411,926762956,354,21561
5194,872408,221523314,64,4878
5035,3039299,313305827,64,17977
2626,3052512,120525657,193,9196
308,2953044,30864825,496,8731
3947,3122631,76037234,354,9758
249,989761,550157072,105,3157
162,2124526,346950709,95,6522
3460,5984116,1147940938,241,17591
979,2453067,338168980,279,7585
399,5241170,905335089,496,15887
3002,4754516,253702858,59,21052
1096,4927905,437147233,279,14884
2141,2970083,86212864,169,8767
2057,4146793,87693736,131,13054
3398,3106790,48506962,241,8903
4167,3243922,406164301,354,9857
4288,4656998,410692771,354,14784
4368,3055733,926762956,354,9994
2788,1012052,903755795,884,3510
3867,3660423,304886801,116,12920
3719,611664,393401669,241,1647
4742,5156996,634389180,104,17060
4904,4084385,655233780,349,15789
2250,593425,926454459,169,1812
3901,5773663,203969372,113,25557
1817,4465403,230070078,82,24779
1435,1350676,64399909,105,4026
628,5056980,487493957,113,20253
4420,2754686,880154406,354,8451
5031,2534138,327344368,66,14757
4292,3879499,408132110,354,13964
183,2164471,595705150,121,6595
587,4656051,304293295,132,19865
3749,5024940,408357269,241,15516
935,4161062,973909597,279,12580
656,1938348,749300740,109,7975
4755,3466673,498302464,104,12110
2647,5154836,390365179,55,24348
2841,4584761,1254723127,884,13654
2629,3213876,429166060,193,9656
2635,2433745,948251527,193,7211
4264,4685534,387757332,354,15904
868,5372952,558808983,279,16751
2169,3196168,115828536,169,9849
2093,2614789,503661002,55,11926
2605,2216254,243918363,66,10312
94,1780605,239996068,135,5565
4547,1723457,402535088,129,9991
1256,4443350,15021789,1029,30123
3229,3296903,232262490,56,14289
1257,1465334,33289731,397,8264
13,3174868,275173257,483,8943
936,905763,973909597,279,2586
1485,4982902,94969774,105,14549
1565,4533110,580819857,105,16065
3774,1921568,183487503,84,10020
2124,1642072,868178539,97,7455
825,4798826,511644815,279,14915
3805,4204606,102537956,116,12808
3311,4117796,337145435,68,21106
2256,4320570,441686388,169,12579
3482,4990892,474708503,241,15255
4303,2036488,635913364,354,6315
4644,2941435,746054033,343,9714
2568,2565661,1187667009,220,7713
4005,4371974,654107331,354,14041
463,2780499,344966944,309,8487
539,5997829,121118429,126,18115
2172,1728560,62125692,169,5684
3474,5507767,534174996,241,15745
3874,1059184,685030778,116,3571
